Day,List 1,List 2,List 3,List 4,List 5,List 6,List 7,List 8,List 9,List 10
48,Luke 4,Gen 48,Gal 3,Rev 5,Eccl 6,Ps 48,Prov 17,Ruth 3,Isaiah 48,Acts 20
49,Luke 5,Gen 49,Gal 4,Rev 6,Eccl 7,Ps 49,Prov 18,Ruth 4,Isaiah 49,Acts 21
50,Luke 6,Gen 50,Gal 5,Rev 7,Eccl 8,Ps 50,Prov 19,1 Sam 1,Isaiah 50,Acts 22
51,Luke 7,Ex 1,Gal 6,Rev 8,Eccl 9,Ps 51,Prov 20,1 Sam 2,Isaiah 51,Acts 23
52,Luke 8,Ex 2,Eph 1,Rev 9,Eccl 10,Ps 52,Prov 21,1 Sam 3,Isaiah 52,Acts 24
53,Luke 9,Ex 3,Eph 2,Rev 10,Eccl 11,Ps 53,Prov 22,1 Sam 4,Isaiah 53,Acts 25
54,Luke 10,Ex 4,Eph 3,Rev 11,Eccl 12,Ps 54,Prov 23,1 Sam 5,Isaiah 54,Acts 26
55,Luke 11,Ex 5,Eph 4,Rev 12,Songs 1,Ps 55,Prov 24,1 Sam 6,Isaiah 55,Acts 27
56,Luke 12,Ex 6,Eph 5,Rev 13,Songs 2,Ps 56,Prov 25,1 Sam 7,Isaiah 56,Acts 28
57,Luke 13,Ex 7,Eph 6,Rev 14,Songs 3,Ps 57,Prov 26,1 Sam 8,Isaiah 57,Acts 1
58,Luke 14,Ex 8,Phil 1,Rev 15,Songs 4,Ps 58,Prov 27,1 Sam 9,Isaiah 58,Acts 2
59,Luke 15,Ex 9,Phil 2,Rev 16,Songs 5,Ps 59,Prov 28,1 Sam 10,Isaiah 59,Acts 3
60,Luke 16,Ex 10,Phil 3,Rev 17,Songs 6,Ps 60,Prov 29,1 Sam 11,Isaiah 60,Acts 4
61,Luke 17,Ex 11,Phil 4,Rev 18,Songs 7,Ps 61,Prov 30,1 Sam 12,Isaiah 61,Acts 5
62,Luke 18,Ex 12,Col 1,Rev 19,Songs 8,Ps 62,Prov 31,1 Sam 13,Isaiah 62,Acts 6
